Checking formats for https://www.youtube.com/watch?v=dQw4w9WgXcQ...

Found 2 combined formats:
- itag: 18, Quality: 360p, Height: 360, Container: mp4
- itag: 18, Quality: 360p, Height: 360, Container: mp4

All Formats (Video only):
- itag: 313, Quality: 2160p, Height: 2160, Container: webm
- itag: 313, Quality: 2160p, Height: 2160, Container: webm
- itag: 313, Quality: 2160p, Height: 2160, Container: webm
- itag: 401, Quality: 2160p, Height: 2160, Container: mp4
- itag: 401, Quality: 2160p, Height: 2160, Container: mp4
- itag: 401, Quality: 2160p, Height: 2160, Container: mp4
- itag: 271, Quality: 1440p, Height: 1440, Container: webm
- itag: 271, Quality: 1440p, Height: 1440, Container: webm
- itag: 271, Quality: 1440p, Height: 1440, Container: webm
- itag: 400, Quality: 1440p, Height: 1440, Container: mp4
- itag: 400, Quality: 1440p, Height: 1440, Container: mp4
- itag: 400, Quality: 1440p, Height: 1440, Container: mp4
- itag: 137, Quality: 1080p, Height: 1080, Container: mp4
- itag: 137, Quality: 1080p, Height: 1080, Container: mp4
- itag: 137, Quality: 1080p, Height: 1080, Container: mp4
- itag: 399, Quality: 1080p, Height: 1080, Container: mp4
- itag: 399, Quality: 1080p, Height: 1080, Container: mp4
- itag: 399, Quality: 1080p, Height: 1080, Container: mp4
- itag: 248, Quality: 1080p, Height: 1080, Container: webm
- itag: 248, Quality: 1080p, Height: 1080, Container: webm
- itag: 248, Quality: 1080p, Height: 1080, Container: webm
- itag: 136, Quality: 720p, Height: 720, Container: mp4
- itag: 136, Quality: 720p, Height: 720, Container: mp4
- itag: 136, Quality: 720p, Height: 720, Container: mp4
- itag: 398, Quality: 720p, Height: 720, Container: mp4
- itag: 398, Quality: 720p, Height: 720, Container: mp4
- itag: 398, Quality: 720p, Height: 720, Container: mp4
- itag: 247, Quality: 720p, Height: 720, Container: webm
- itag: 247, Quality: 720p, Height: 720, Container: webm
- itag: 247, Quality: 720p, Height: 720, Container: webm
- itag: 135, Quality: 480p, Height: 480, Container: mp4
- itag: 135, Quality: 480p, Height: 480, Container: mp4
- itag: 135, Quality: 480p, Height: 480, Container: mp4
- itag: 397, Quality: 480p, Height: 480, Container: mp4
- itag: 397, Quality: 480p, Height: 480, Container: mp4
- itag: 397, Quality: 480p, Height: 480, Container: mp4
- itag: 244, Quality: 480p, Height: 480, Container: webm
- itag: 244, Quality: 480p, Height: 480, Container: webm
- itag: 244, Quality: 480p, Height: 480, Container: webm
- itag: 134, Quality: 360p, Height: 360, Container: mp4
- itag: 134, Quality: 360p, Height: 360, Container: mp4
- itag: 134, Quality: 360p, Height: 360, Container: mp4
- itag: 396, Quality: 360p, Height: 360, Container: mp4
- itag: 396, Quality: 360p, Height: 360, Container: mp4
- itag: 396, Quality: 360p, Height: 360, Container: mp4
- itag: 243, Quality: 360p, Height: 360, Container: webm
- itag: 243, Quality: 360p, Height: 360, Container: webm
- itag: 243, Quality: 360p, Height: 360, Container: webm
- itag: 133, Quality: 240p, Height: 240, Container: mp4
- itag: 133, Quality: 240p, Height: 240, Container: mp4
- itag: 133, Quality: 240p, Height: 240, Container: mp4
- itag: 395, Quality: 240p, Height: 240, Container: mp4
- itag: 395, Quality: 240p, Height: 240, Container: mp4
- itag: 395, Quality: 240p, Height: 240, Container: mp4
- itag: 242, Quality: 240p, Height: 240, Container: webm
- itag: 242, Quality: 240p, Height: 240, Container: webm
- itag: 242, Quality: 240p, Height: 240, Container: webm
- itag: 160, Quality: 144p, Height: 144, Container: mp4
- itag: 160, Quality: 144p, Height: 144, Container: mp4
- itag: 160, Quality: 144p, Height: 144, Container: mp4
- itag: 394, Quality: 144p, Height: 144, Container: mp4
- itag: 394, Quality: 144p, Height: 144, Container: mp4
- itag: 394, Quality: 144p, Height: 144, Container: mp4
- itag: 278, Quality: 144p, Height: 144, Container: webm
- itag: 278, Quality: 144p, Height: 144, Container: webm
- itag: 278, Quality: 144p, Height: 144, Container: webm
- itag: 598, Quality: 144p, Height: 144, Container: webm
